iter	Logloss
0	0.6889691203
1	0.6836555817
2	0.6793168968
3	0.6745553603
4	0.6705244148
5	0.6696867681
6	0.6659093627
7	0.6621486198
8	0.6563013897
9	0.649498532
10	0.6445621297
11	0.6408822585
12	0.635862238
13	0.6325936827
14	0.628831536
15	0.625978264
16	0.6209215004
17	0.6169391999
18	0.6123903709
19	0.6092869768
20	0.606059193
21	0.6033580817
22	0.5998809692
23	0.5959886345
24	0.5911374373
25	0.5873625343
26	0.5842740328
27	0.5809339443
28	0.5779942465
29	0.5743378737
30	0.5720579661
31	0.5677533999
32	0.5654062315
33	0.563555279
34	0.5610342824
35	0.5574306441
36	0.5537688392
37	0.5526000768
38	0.5484244168
39	0.545743264
40	0.5412472915
41	0.5389384532
42	0.535881812
43	0.5333390869
44	0.5298312738
45	0.5253775986
46	0.5223490947
47	0.5193118627
48	0.5169209931
49	0.5137602259
50	0.5104820881
51	0.5074705824
52	0.5055180369
53	0.5039893501
54	0.5009900209
55	0.4995981445
56	0.4981739804
57	0.4961535943
58	0.4934561756
59	0.491106169
60	0.4870849891
61	0.4854728062
62	0.4828753326
63	0.4801134912
64	0.4775119588
65	0.4749652969
66	0.4733201245
67	0.4714433236
68	0.4672166383
69	0.4646296627
70	0.4633082513
71	0.4610673452
72	0.4587478257
73	0.4578674544
74	0.4562055889
75	0.4543057778
76	0.4507141023
77	0.4493227141
78	0.4470957545
79	0.4456935631
80	0.4430894976
81	0.4413495071
82	0.4393058971
83	0.4361342962
84	0.4348509097
85	0.4334639771
86	0.431872302
87	0.4307686336
88	0.4281355764
89	0.426583147
90	0.4243430953
91	0.422902177
92	0.4208760536
93	0.4185349887
94	0.417218094
95	0.4166548614
96	0.415084274
97	0.4137784266
98	0.4124188988
99	0.4113742208
100	0.4103397358
101	0.408416182
102	0.4062768688
103	0.404315168
104	0.4034347663
105	0.4019948856
106	0.4008251161
107	0.3989229246
108	0.3979687008
109	0.3965127679
110	0.3950504263
111	0.3939507557
112	0.3928105578
113	0.3908038435
114	0.3886485697
115	0.3872764381
116	0.3868599952
117	0.3862576391
118	0.3843480318
119	0.3825082793
120	0.3801515589
121	0.3793521508
122	0.3787753379
123	0.3771395344
124	0.3743193434
125	0.3725843273
126	0.3709964669
127	0.3682425296
128	0.3671189637
129	0.363842718
130	0.3617773184
131	0.3608646291
132	0.3594334154
133	0.3576488082
134	0.3564177899
135	0.3556192668
136	0.3538959388
137	0.3529053991
138	0.351388309
139	0.350505771
140	0.3489598417
141	0.348289523
142	0.3457948936
143	0.3443475362
144	0.3433795795
145	0.3423516862
146	0.3412445083
147	0.3403168958
148	0.3390714122
149	0.3385589914
150	0.3377472542
151	0.3367824713
152	0.3359654546
153	0.3348864749
154	0.3336323853
155	0.332246826
156	0.3315443417
157	0.3309513545
158	0.3296030877
159	0.3283680106
160	0.3274027089
161	0.3264981372
162	0.3249393295
163	0.3234584943
164	0.3227105693
165	0.3215092141
166	0.3196506323
167	0.3185813572
168	0.3179819308
169	0.3169465912
170	0.315914456
171	0.3147290005
172	0.313879513
173	0.3133461877
174	0.3123570518
175	0.3117053183
176	0.3097197528
177	0.3080156204
178	0.3064945019
179	0.3051436716
180	0.3039055732
181	0.3025945989
182	0.3016538333
183	0.3005461976
184	0.2994184508
185	0.2989263853
186	0.2967297296
187	0.295399987
188	0.2945240102
189	0.293915215
190	0.2925689623
191	0.291976738
192	0.2907731245
193	0.2894869304
194	0.2887098917
195	0.287610099
196	0.2865253515
197	0.285880576
198	0.2851277683
199	0.2839723726
200	0.282911032
201	0.281148489
202	0.2807287196
203	0.2798543908
204	0.2790272728
205	0.2770235493
206	0.27577007
207	0.2746552017
208	0.2739967848
209	0.2734388928
210	0.2722446177
211	0.2716274301
212	0.2702859992
213	0.2692059209
214	0.2685757328
215	0.2682109866
216	0.2669714234
217	0.2662007934
218	0.2651022214
219	0.2642004573
220	0.2626429924
221	0.2613332998
222	0.2605145741
223	0.2596410998
224	0.2587541978
225	0.2581160141
226	0.2573605208
227	0.2569240583
228	0.2557226573
229	0.2546501321
230	0.2540008705
231	0.2530239569
232	0.2521288303
233	0.2517583927
234	0.2515414279
235	0.2508921663
236	0.2504921418
237	0.2493072966
238	0.2479134365
239	0.2468284601
240	0.2460710442
241	0.2454088432
242	0.2441266469
243	0.2437028644
244	0.242556563
245	0.2417285904
246	0.2406614821
247	0.2395921764
248	0.2384898813
249	0.2379819924
250	0.2374604774
251	0.2366999945
252	0.2362347082
253	0.234724454
254	0.2341920747
255	0.2335564392
256	0.2327552611
257	0.2316921201
258	0.2313534207
259	0.2305547145
260	0.2298982355
261	0.2292830467
262	0.2285487937
263	0.2281933554
264	0.2267744861
265	0.2258285631
266	0.225059993
267	0.2244952193
268	0.2237041425
269	0.2232761639
270	0.2229124554
271	0.2213088937
272	0.2207417702
273	0.2201101325
274	0.2193828527
275	0.218144678
276	0.21747175
277	0.2170931489
278	0.2160719848
279	0.2156836943
280	0.2152774442
281	0.2144847194
282	0.2140453273
283	0.2135066614
284	0.2127027977
285	0.2122883842
286	0.2113863607
287	0.2103825764
288	0.2092809526
289	0.208665535
290	0.2080109786
291	0.2069557569
292	0.205756309
293	0.2048298715
294	0.2040660774
295	0.203672782
296	0.2031309423
297	0.2022207249
298	0.2017230747
299	0.201249457
